,ru,en
S_BLOOD_BEFOR,"Да, если вдруг вы сомневались, это плохо отмытая кровь. Причём, не стану скрывать: человеческая.","If you still wonder, yes, this is poorly cleaned up blood. And, with no further disguise, human's blood it is."
S_BLOOD_AFTER,Конец такой прекрасной жизни. Закономерный конец и потому отвратительный.,End of such a beautiful life. Reasonable and therefore disgusting.
S_BLOOD_BLOCK,"Да, можно было бы спрятать пятно, поставив на него что-нибудь, но... зачем?","Yes, I could've hidden the stain by placing something above it, but... for what reason?"
S_BLOOD_BULL,"Ха, оригинальное предположение! Но нет, это именно человеческая кровь. Я уверен.","Ha, good one, for a guess! But no, it is precisely human's blood. I'm sure of it."
S_BLOOD_MUSIC,"Хм, музыка, конечно, тут замешана, но этого недостаточно.","Hm, of course music is involved, but that's not enough."
S_BLOOD_COMMISSION,"[С усмешкой] Нет, нет! Конечно, я расстроен тем, как всё обернулось, но заказчик тут ни в чём не виноват. Во всяком случае не настолько.","[With a smirk] No, of course not! I am disappointed with all of that, but there is no customer's fault. At least not that much."
S_BLOOD_MUSICIAN_1,"Да, всякие сомнения излишни. Кто ещё? Рок-музыкант, бунтарь! Всегда мечтал играть альтернативную, свою музыку. Свою и ничью другую. Но, вот ирония, его же стараниями она становится популярна. Известность, концерты, тиражи. Снова и снова, одно и то же.","Yea, away with doubts! Who else? Rock musician, rebel! Always strived for a dream of alternative, his own music. Nobody else's, but his own. Yet, feel an irony, he himself made it popular. Fame, gigs, publishing. Again and again, all and the same."
S_BLOOD_MUSICIAN_2,"Его же песни, но внезапно опостылевшие. Внезапно они больше не в радость. И уже не сделать шаг в сторону... Не удивительно, что всё закончилось так. Слишком быстро и неправильно...","His own music, he got sick of. Suddenly with no joy anymore. And no room to step aside... No wonder it all ended like this. Too soon and utterly wrong."
S_PLANT,"Хорошо, что я поставил горшки с зеленью. Они прижились бы при любом раскладе: солнца вдоволь.","It's good thing, that I placed pots with the houseplants all around. They would've fitted in anyway - it's sunny enough."
S_PLANT_MUSIC,"Говорят, музыка полезна для цветов.",They say music is good for plants.
S_PLANT_COMMISSION,"И что? Будь это балкон, разве нельзя было бы поставить сюда эти цветы?! Балкон, конечно, нужно было бы утеплить, и тогда они прекрасно пережили бы и зиму!","So what? Can't you place a houseplant in regular balcony?! Certainly, it should be winterize, and then they would've surely lived though the cold season."
S_PLANT_CUP_BEFOR,"Стакан и так полупустой, какой смысл разливать остатки воды?","Cup half empty as it is, no need to spill the rest."
S_BULL,"Ну... если честно, я сам не знаю, зачем она здесь. Это не настоящее чучело, конечно, деревянная реплика. Подчёркивает стиль. Ну и, признаться, было отчасти приятно видеть глаза заказчика, когда он заметил это чудо.","Well… honestly speaking, I have no firm idea of a reason why that thing were put in here. That's no true stuffed head, of course, it's a wooden replica. Upholds the style, I guess. Yet, I confess, there was some fun in watching customer's face, when he saw that thing."
